Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles
"Milwaukee County, dba: Milwaukee County Transit System",Milwaukee,WI,5008,50008,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  405 ,DR,PT,84,,0,,  12.44 ,,  6.81 ,,  2.09 ,, 0 ,," 3,074,055 ",,2701099,," 372,956 ",," 240,896 ",,217144,," 23,752 ",, 0 ,, 0 ,, 0 ,, 0 ,,454851,," 3,099,217 ",,0.0
City of Madison,Madison,WI,5005,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 401,661 ",  254 ,DR,DO,12,,0,,  11.16 ,,  5.60 ,,  1.94 ,, 0 ,," 103,286 ",,95856,," 7,430 ",," 9,139 ",,8588,, 551 ,, 0 ,, 0 ,, 0 ,, 0 ,,16651,," 93,234 ",,0.0
City of Madison,Madison,WI,5005,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 401,661 ",  254 ,MB,DO,182,,0,,  12.38 ,,  3.95 ,,  32.56 ,," 5,032,389 ",," 5,954,205 ",,5032186,," 922,019 ",," 448,601 ",,406410,," 42,191 ",, 0 ,, 0 ,, 0 ,, 0 ,,13230698,," 52,239,924 ",,419.2
City of Madison,Madison,WI,5005,50005,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 401,661 ",  254 ,DR,PT,60,,0,,  11.92 ,,  8.28 ,,  2.18 ,, 0 ,," 754,743 ",,754736,, 7 ,," 63,624 ",,63341,, 283 ,, 0 ,, 0 ,, 0 ,, 0 ,,138279,," 1,145,466 ",,0.0
"City of Appleton, dba: Valley Transit",Appleton,WI,5001,50001,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 216,154 ",  74 ,MB,DO,21,,0,,  15.06 ,,  4.50 ,,  16.40 ,," 898,095 ",," 940,203 ",,897901,," 42,302 ",," 64,922 ",,59625,," 5,297 ",, 0 ,, 0 ,, 0 ,, 0 ,,977635,," 4,403,457 ",,175.0
"City of Appleton, dba: Valley Transit",Appleton,WI,5001,50001,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 216,154 ",  74 ,DR,PT,43,,0,,  20.78 ,,  9.16 ,,  3.88 ,, 0 ,," 938,567 ",,839975,," 98,592 ",," 45,232 ",,40420,," 4,812 ",, 0 ,, 0 ,, 0 ,, 0 ,,156906,," 1,437,169 ",,0.0
"City of Appleton, dba: Valley Transit",Appleton,WI,5001,50001,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 216,154 ",  74 ,MB,PT,10,,0,,  20.15 ,,  12.50 ,,  3.65 ,," 140,322 ",," 244,632 ",,138050,," 106,582 ",," 11,383 ",,6850,," 4,533 ",, 0 ,, 0 ,, 0 ,, 0 ,,24985,," 312,259 ",,650.0
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,5003,50003,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 124,064 ",  58 ,SR,DO,3,,1,,  7.15 ,,  1.65 , W ,  16.40 ,," 17,242 ",," 17,342 ",,17242,, 100 ,," 2,583 ",,2413,, 170 ,," 17,342 ",," 17,242 ",," 2,583 ",," 2,413 ",,39569,," 65,289 ",W,1.7
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,5003,50003,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 124,064 ",  58 ,MB,DO,40,,0,,  13.09 ,,  3.18 ,,  16.90 ,," 1,036,461 ",," 1,141,274 ",,1036132,," 105,142 ",," 87,366 ",,79155,," 8,211 ",, 0 ,, 0 ,, 0 ,, 0 ,,1338109,," 4,255,186 ",,176.0
"City of Kenosha, dba: Kenosha Area Transit",Kenosha,WI,5003,50003,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 124,064 ",  58 ,DR,PT,15,,0,,  13.37 ,,  5.42 ,,  2.15 ,, 0 ,," 216,587 ",,187239,," 29,348 ",," 16,055 ",,14007,," 2,048 ",, 0 ,, 0 ,, 0 ,, 0 ,,30087,," 163,001 ",,0.0
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,5099,50099,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 102,852 ",  50 ,MB,DO,16,,0,,  14.57 ,,  2.56 ,,  19.04 ,," 694,574 ",," 706,715 ",,693353,," 13,362 ",," 48,570 ",,47596,, 974 ,, 0 ,, 0 ,, 0 ,, 0 ,,906130,," 2,321,024 ",,106.9
"City of Eau Claire, dba: Eau Claire Transit",Eau Claire,WI,5099,50099,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 102,852 ",  50 ,DR,PT,34,,0,,  20.77 ,,  9.41 ,,  2.25 ,, 0 ,," 864,359 ",,542337,," 322,022 ",," 35,567 ",,26108,," 9,459 ",, 0 ,, 0 ,, 0 ,, 0 ,,58618,," 551,576 ",,0.0
"City of Waukesha , dba: Waukesha Metro Transit",Waukesha,WI,5096,50096,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  41 ,DR,PT,3,,0,,  11.95 ,,  6.88 ,,  1.94 ,, 0 ,," 17,440 ",,17440,, 0 ,," 1,459 ",,1459,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,2831,," 19,466 ",,0.0
Menominee Indian Tribe of Wisconsin,Keshena,WI,5T03,55228,Tribe,Reduced Reporter, 0 ,  41 ,MB,DO,8,,0,,  21.91 ,,  -   ,,  2.33 ,, 0 ,, 0 ,,411533,, 0 ,, 0 ,,18781,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,43762,, 0 ,,0.0
"City of Waukesha , dba: Waukesha Metro Transit",Waukesha,WI,5096,50096,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  41 ,DR,DO,5,,0,,  11.76 ,,  5.47 ,,  2.21 ,, 0 ,," 77,255 ",,63424,," 13,831 ",," 6,206 ",,5391,, 815 ,, 0 ,, 0 ,, 0 ,, 0 ,,11902,," 65,080 ",,0.0
Menominee Indian Tribe of Wisconsin,Keshena,WI,5T03,55228,Tribe,Reduced Reporter, 0 ,  41 ,DR,DO,33,,0,,  22.80 ,,  -   ,,  2.66 ,, 0 ,, 0 ,,1091346,, 0 ,, 0 ,,47858,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,127190,, 0 ,,0.0
"City of Waukesha , dba: Waukesha Metro Transit",Waukesha,WI,5096,50096,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  41 ,MB,DO,21,,0,,  13.77 ,,  3.56 ,,  14.34 ,," 836,967 ",," 895,554 ",,835478,," 60,076 ",," 63,177 ",,60680,," 2,497 ",, 0 ,, 0 ,, 0 ,, 0 ,,870203,," 3,098,462 ",,173.7
"City of Waukesha , dba: Waukesha Metro Transit",Waukesha,WI,5096,50096,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  41 ,CB,PT,12,,0,,  24.05 ,,  21.40 ,,  8.53 ,," 319,260 ",," 489,141 ",,315044,," 174,097 ",," 20,121 ",,13098,," 7,023 ",, 0 ,, 0 ,, 0 ,, 0 ,,111726,," 2,390,880 ",,284.2
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,5006,50006,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 133,700 ",  39 ,CB,PT,3,,0,,  21.96 ,,  24.83 ,,  5.61 ,," 194,435 ",," 218,921 ",,194102,," 24,819 ",," 9,560 ",,8840,, 720 ,, 0 ,, 0 ,, 0 ,, 0 ,,49615,," 1,231,745 ",,46.0
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,5006,50006,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 133,700 ",  39 ,MB,DO,29,,0,,  12.44 ,,  3.06 ,,  14.02 ,," 953,830 ",," 1,025,840 ",,953388,," 72,452 ",," 80,300 ",,76660,," 3,640 ",, 0 ,, 0 ,, 0 ,, 0 ,,1074596,," 3,292,739 ",,155.0
"City of Racine, Wisconsin, dba: RYDE",Racine,WI,5006,50006,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 133,700 ",  39 ,DR,DO,7,,0,,  11.97 ,,  4.21 ,,  3.61 ,, 0 ,," 135,509 ",,121397,," 14,112 ",," 11,340 ",,10143,," 1,197 ",, 0 ,, 0 ,, 0 ,, 0 ,,36653,," 154,383 ",,0.0
"City of Green Bay, dba: Green Bay Metro",Green Bay,WI,5002,50002,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 206,520 ",  34 ,MB,DO,23,,0,,  14.87 ,,  2.95 ,,  16.03 ,," 1,198,232 ",," 1,191,823 ",,1183482,," 8,341 ",," 80,123 ",,79606,, 517 ,, 0 ,, 0 ,, 0 ,, 0 ,,1275835,," 3,765,143 ",,217.4
"City of Green Bay, dba: Green Bay Metro",Green Bay,WI,5002,50002,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 206,520 ",  34 ,DR,PT,11,,0,,  15.93 ,,  7.90 ,,  2.24 ,, 0 ,," 287,246 ",,246038,," 41,208 ",," 16,918 ",,15445,," 1,473 ",, 0 ,, 0 ,, 0 ,, 0 ,,34637,," 273,778 ",,0.0
"Ozaukee County , dba: Ozaukee County Transit Services ",Port Washington,WI,5161,50161,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  33 ,CB,DO,7,,0,,  26.13 ,,  22.03 ,,  12.80 ,," 185,055 ",," 275,932 ",,188131,," 87,801 ",," 10,107 ",,7201,," 2,906 ",, 0 ,, 0 ,, 0 ,, 0 ,,92152,," 2,030,109 ",,69.0
"County of Washington, dba: Washington County Transit",West Bend,WI,5160,50160,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  33 ,DR,PT,25,,0,,  21.12 ,,  10.85 ,,  1.76 ,, 0 ,," 1,230,547 ",,1098413,," 132,134 ",," 58,471 ",,52016,," 6,455 ",, 0 ,, 0 ,, 0 ,, 0 ,,91797,," 996,316 ",,0.0
"Ozaukee County , dba: Ozaukee County Transit Services ",Port Washington,WI,5161,50161,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  33 ,DR,PT,26,,0,,  20.39 ,,  6.99 ,,  2.03 ,, 0 ,," 1,219,446 ",,1123628,," 95,818 ",," 60,730 ",,55106,," 5,624 ",, 0 ,, 0 ,, 0 ,, 0 ,,112135,," 783,899 ",,0.0
"County of Washington, dba: Washington County Transit",West Bend,WI,5160,50160,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 1,376,476 ",  33 ,CB,PT,8,,0,,  29.35 ,,  30.35 ,,  10.71 ,," 227,521 ",," 415,405 ",,215222,," 200,183 ",," 13,183 ",,7332,," 5,851 ",, 0 ,, 0 ,, 0 ,, 0 ,,78557,," 2,384,265 ",,77.9
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,5009,50009,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 74,495 ",  30 ,MB,PT,1,,0,,  21.84 ,,  9.03 ,,  4.73 ,," 67,825 ",," 73,542 ",,67544,," 5,998 ",," 3,314 ",,3093,, 221 ,, 0 ,, 0 ,, 0 ,, 0 ,,14639,," 132,190 ",,30.0
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,5009,50009,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 74,495 ",  30 ,DT,PT,20,,0,,  18.88 ,,  4.36 ,,  4.12 ,, 0 ,, 0 ,,344029,, 0 ,, 0 ,,18220,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,75106,," 327,314 ",,0.0
"City of La Crosse, dba: LaCrosse Municipal Transit Utility",La Crosse,WI,5004,50004,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 100,868 ",  30 ,MB,DO,16,,0,,  14.46 ,,  3.00 ,,  16.41 ,," 845,616 ",," 872,483 ",,845271,," 27,212 ",," 59,955 ",,58459,," 1,496 ",, 0 ,, 0 ,, 0 ,, 0 ,,959453,," 2,876,380 ",,125.0
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,5009,50009,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 74,495 ",  30 ,MB,DO,9,,0,,  13.83 ,,  1.98 ,,  24.72 ,," 486,846 ",," 493,288 ",,477265,," 16,023 ",," 35,305 ",,34507,, 798 ,, 0 ,, 0 ,, 0 ,, 0 ,,852959,," 1,690,840 ",,64.0
"City of La Crosse, dba: LaCrosse Municipal Transit Utility",La Crosse,WI,5004,50004,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 100,868 ",  30 ,DR,PT,14,,0,,  17.59 ,,  5.42 ,,  2.39 ,, 0 ,," 191,818 ",,157332,," 34,486 ",," 12,734 ",,8945,," 3,789 ",, 0 ,, 0 ,, 0 ,, 0 ,,21412,," 115,962 ",,0.0
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit ",Fond du Lac,WI,5171,50171,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 54,901 ",  27 ,MB,PT,1,,0,,  13.83 ,,  -   ,,  18.99 ,, 0 ,, 0 ,,8189,, 0 ,, 0 ,,592,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,11242,, 0 ,,0.0
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit ",Fond du Lac,WI,5171,50171,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 54,901 ",  27 ,DR,PT,12,,0,,  9.73 ,,  -   ,,  2.00 ,, 0 ,, 0 ,,149797,, 0 ,, 0 ,,15393,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,30753,, 0 ,,0.0
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit ",Fond du Lac,WI,5171,50171,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 54,901 ",  27 ,MB,DO,7,,0,,  13.33 ,,  -   ,,  12.58 ,, 0 ,, 0 ,,165196,, 0 ,, 0 ,,12389,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,155874,, 0 ,,0.0
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit ",Fond du Lac,WI,5171,50171,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 54,901 ",  27 ,DT,PT,7,,0,,  20.21 ,,  -   ,,  5.52 ,, 0 ,, 0 ,,34971,, 0 ,, 0 ,,1730,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,9541,, 0 ,,0.0
"City of Sheboygan, dba: Shoreline Metro",Sheboygan,WI,5088,50088,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 71,313 ",  21 ,MB,DO,15,,0,,  13.89 ,,  -   ,,  15.53 ,, 0 ,, 0 ,,536426,, 0 ,, 0 ,,38611,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,599714,, 0 ,,0.0
"City of Sheboygan, dba: Shoreline Metro",Sheboygan,WI,5088,50088,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 71,313 ",  21 ,DR,DO,6,,0,,  12.78 ,,  -   ,,  2.72 ,, 0 ,, 0 ,,163145,, 0 ,, 0 ,,12761,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,34658,, 0 ,,0.0
"City of Wausau, Wisconsin, dba: Metro Ride",WAUSAU,WI,5091,50091,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 74,632 ",  21 ,MB,DO,18,,0,,  14.19 ,,  -   ,,  18.99 ,, 0 ,, 0 ,,376034,, 0 ,, 0 ,,26502,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,503359,, 0 ,,0.0
"City of Wausau, Wisconsin, dba: Metro Ride",WAUSAU,WI,5091,50091,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 74,632 ",  21 ,DR,DO,3,,0,,  9.09 ,,  -   ,,  2.06 ,, 0 ,, 0 ,,16974,, 0 ,, 0 ,,1867,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,3841,, 0 ,,0.0
"City of Janesville, dba: Janesville Transit System",Janesville,WI,5108,50108,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 69,658 ",  17 ,MB,DO,15,,0,,  15.02 ,,  -   ,,  18.08 ,, 0 ,, 0 ,,435108,, 0 ,, 0 ,,28976,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,523829,, 0 ,,0.0
"City of Janesville, dba: Janesville Transit System",Janesville,WI,5108,50108,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 69,658 ",  17 ,DR,PT,2,,0,,  15.34 ,,  -   ,,  3.86 ,, 0 ,, 0 ,,20112,, 0 ,, 0 ,,1311,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,5061,, 0 ,,0.0
"Sawyer County/LCO Transit Commission, dba: Namekagon Transit",Hayward,WI,5R06-007,5R06-50507,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  15 ,DR,DO,15,,0,,  16.17 ,,  -   ,,  1.86 ,, 0 ,, 0 ,,783401,, 0 ,, 0 ,,48451,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,90041,, 0 ,,0.0
Door County,Sturgeon Bay,WI,5R06-053,5R06-50366,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  14 ,DR,PT,14,,0,,  13.34 ,,  -   ,,  2.02 ,, 0 ,, 0 ,,397858,, 0 ,, 0 ,,29833,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,60169,, 0 ,,0.0
City of West Bend,West Bend,WI,5202,50202,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 68,444 ",  14 ,DR,PT,14,,0,,  10.44 ,,  -   ,,  2.85 ,, 0 ,, 0 ,,364849,, 0 ,, 0 ,,34934,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,99678,, 0 ,,0.0
Bay Area Rural Transit Commission,Ashland,WI,5R06-008,5R06-50401,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  13 ,MB,DO,13,,0,,  19.74 ,,  -   ,,  3.59 ,, 0 ,, 0 ,,683651,, 0 ,, 0 ,,34627,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,124367,, 0 ,,0.0
City of Beaver Dam,Beaver Dam,WI,5R06-010,5R06-50466,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  12 ,DR,PT,12,,0,,  10.82 ,,  -   ,,  3.35 ,, 0 ,, 0 ,,400876,, 0 ,, 0 ,,37049,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,124148,, 0 ,,0.0
City of Prairie du Chien,Prairie du Chien,WI,5R06-034,5R06-50482,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  10 ,MB,PT,5,,0,,  33.81 ,,  -   ,,  2.58 ,, 0 ,, 0 ,,262078,, 0 ,, 0 ,,7752,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,20008,, 0 ,,0.0
County of Walworth,Elkhorn,WI,,5R06-55318,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  10 ,DR,PT,10,,0,,  10.84 ,,  -   ,,  1.17 ,, 0 ,, 0 ,,248518,, 0 ,, 0 ,,22916,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,26789,, 0 ,,0.0
City of Prairie du Chien,Prairie du Chien,WI,5R06-034,5R06-50482,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  10 ,DR,PT,5,,0,,  11.89 ,,  -   ,,  3.24 ,, 0 ,, 0 ,,138616,, 0 ,, 0 ,,11660,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,37740,, 0 ,,0.0
Oneida Tribe of Indians of Wisconsin,Oneida,WI,5T11,55276,Tribe,Reduced Reporter, 0 ,  10 ,DR,DO,10,,0,,  19.66 ,,  -   ,,  3.02 ,, 0 ,, 0 ,,224877,, 0 ,, 0 ,,11439,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,34566,, 0 ,,0.0
"Oneida-Vilas Transit Commission, dba: Northwoods Transit Connections",Rhinelander,WI,,5R06-55319,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  10 ,MB,DO,10,,0,,  14.43 ,,  -   ,,  2.49 ,, 0 ,, 0 ,,203864,, 0 ,, 0 ,,14126,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,35132,, 0 ,,0.0
City of Portage,Portage,WI,5R06-032,5R06-50470,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  9 ,DR,PT,9,,0,,  9.75 ,,  -   ,,  2.62 ,, 0 ,, 0 ,,422464,, 0 ,, 0 ,,43352,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,113763,, 0 ,,0.0
City of Marshfield,Marshfield,WI,5R06-023,5R06-50257,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  9 ,DR,PT,9,,0,,  10.00 ,,  -   ,,  3.40 ,, 0 ,, 0 ,,276242,, 0 ,, 0 ,,27631,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,93904,, 0 ,,0.0
City of Monroe,Monroe,WI,5R06-027,5R06-50235,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  9 ,DR,PT,9,,0,,  9.90 ,,  -   ,,  3.74 ,, 0 ,, 0 ,,178236,, 0 ,, 0 ,,18009,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,67418,, 0 ,,0.0
"City of Onalaska, dba: Onalaska Shared Ride Taxi City of Onalaska",Onalaska,WI,5152,50152,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 100,868 ",  9 ,DR,PT,9,,0,,  13.20 ,,  -   ,,  1.81 ,, 0 ,, 0 ,,411606,, 0 ,, 0 ,,31171,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,56559,, 0 ,,0.0
"City of Beloit, dba: Beloit Transit System",Beloit,WI,5109,50109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 63,835 ",  8 ,DR,PT,2,,0,,  18.28 ,,  -   ,,  5.44 ,, 0 ,, 0 ,,10857,, 0 ,, 0 ,,594,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,3234,, 0 ,,0.0
City of Manitowoc,Manitowoc,WI,5R06-021,5R06-50461,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  8 ,MB,DO,6,,0,,  16.57 ,,  -   ,,  14.10 ,, 0 ,, 0 ,,360909,, 0 ,, 0 ,,21776,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,306951,, 0 ,,0.0
City of Wisconsin Rapids,Wisconsin Rapids,WI,5R06-049,5R06-50405,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  8 ,DR,PT,8,,0,,  11.37 ,,  -   ,,  2.37 ,, 0 ,, 0 ,,453433,, 0 ,, 0 ,,39864,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,94452,, 0 ,,0.0
City of Watertown,Watertown,WI,5R06-044,5R06-50319,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  8 ,DR,PT,8,,0,,  10.41 ,,  -   ,,  3.31 ,, 0 ,, 0 ,,317462,, 0 ,, 0 ,,30506,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,100858,, 0 ,,0.0
"City of Chippewa Falls, dba: Chippewa Falls Shared Ride Taxi",Chippewa Falls,WI,5133,50133,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 102,852 ",  8 ,DR,PT,8,,0,,  10.95 ,,  -   ,,  3.92 ,, 0 ,, 0 ,,176875,, 0 ,, 0 ,,16151,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,63238,, 0 ,,0.0
City of Manitowoc,Manitowoc,WI,5R06-021,5R06-50461,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  8 ,DR,PT,2,,0,,  7.00 ,,  -   ,,  0.90 ,, 0 ,, 0 ,,54239,, 0 ,, 0 ,,7748,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,6985,, 0 ,,0.0
"City of Beloit, dba: Beloit Transit System",Beloit,WI,5109,50109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 63,835 ",  8 ,MB,DO,6,,0,,  13.38 ,,  -   ,,  7.11 ,, 0 ,, 0 ,,269500,, 0 ,, 0 ,,20144,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,143159,, 0 ,,0.0
City of Stevens Point,Stevens Point,WI,5R06-041,5R06-50359,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  7 ,DR,DO,2,,0,,  12.37 ,,  -   ,,  1.94 ,, 0 ,, 0 ,,71900,, 0 ,, 0 ,,5813,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,11292,, 0 ,,0.0
Rusk County Transit Commission,Ladysmith,WI,5R06-006,5R06-50295,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  7 ,MB,DO,2,,0,,  13.76 ,,  -   ,,  4.04 ,, 0 ,, 0 ,,77751,, 0 ,, 0 ,,5652,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,22815,, 0 ,,0.0
Rusk County Transit Commission,Ladysmith,WI,5R06-006,5R06-50295,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  7 ,DR,DO,5,,0,,  16.82 ,,  -   ,,  4.31 ,, 0 ,, 0 ,,143234,, 0 ,, 0 ,,8516,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,36713,, 0 ,,0.0
City of Stevens Point,Stevens Point,WI,5R06-041,5R06-50359,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  7 ,MB,DO,5,,0,,  13.70 ,,  -   ,,  13.73 ,, 0 ,, 0 ,,226683,, 0 ,, 0 ,,16542,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,227180,, 0 ,,0.0
City of Waupaca,Waupaca,WI,5R06-045,5R06-50336,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  6 ,DR,PT,6,,0,,  10.76 ,,  -   ,,  3.20 ,, 0 ,, 0 ,,180953,, 0 ,, 0 ,,16811,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,53834,, 0 ,,0.0
City of Platteville,Platteville,WI,5R06-030,5R06-50431,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  6 ,DR,PT,3,,0,,  9.23 ,,  -   ,,  2.82 ,, 0 ,, 0 ,,117976,, 0 ,, 0 ,,12775,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,36083,, 0 ,,0.0
City of Platteville,Platteville,WI,5R06-030,5R06-50431,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  6 ,MB,PT,3,,0,,  13.02 ,,  -   ,,  8.59 ,, 0 ,, 0 ,,92720,, 0 ,, 0 ,,7121,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,61181,, 0 ,,0.0
